h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,walkability_variance,accessibility_mean,population_weighted_accessibility
886015d823fffff,0.36426484245334856,0.0175125884065144,6,0.0,0.0,0.0,0.0,0.0,0.0,0.00030669075269598267,0.0,0.0
886015d825fffff,0.36704307821905285,0.013562229917391477,37,0.0,0.0,0.0,0.0,0.0,0.0,0.00018393408033218843,0.0,0.0
886015d827fffff,0.3769680475862897,0.013848197756793548,126,0.0,0.0,0.0,0.0,0.0,0.0,0.00019177258111126183,0.0,0.0
886015d831fffff,0.36957363495033974,0.012299486537331636,9,0.0,0.0,0.0,0.0,0.0,0.0,0.00015127736908200217,0.0,0.0
886015d833fffff,0.3725666654660479,0.013537460679602084,133,0.0,0.0,0.0,0.0,0.0,0.0,0.00018326284165177254,0.0,0.0
886015d835fffff,0.37429910475836875,0.011752103886074136,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0001381119457490788,0.0,0.0
886015d837fffff,0.3723359545691008,0.017813729235702656,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0003173289492829275,0.0,0.0
886015d881fffff,0.3787277950865954,0.06255458893521547,166,0.0,0.006024096385542169,0.0,0.0,0.0,0.0,0.003913076596853781,0.012048192771084338,0.012048192771084338
886015d883fffff,0.3785802746233471,0.0098408120777847,54,0.0,0.0,0.0,0.0,0.0,0.0,9.684158235027322e-05,0.0,0.0
886015d885fffff,0.37758776129539545,0.0879926923938827,171,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.007742713914724462,0.023391812865497075,0.023391812865497075
886015d887fffff,0.38174626931677913,0.06000806154168997,201,0.0,0.0,0.009950248756218905,0.0,0.0,0.0,0.0036009674499912513,0.014925373134328358,0.014925373134328358
886015d889fffff,0.37815692664277667,,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
886015d88bfffff,0.37216432779469516,0.012254827940799422,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0001501808078585982,0.0,0.0
886015d88dfffff,0.37807349144963537,0.07649902426459439,112,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.005852100713435,0.017857142857142856,0.017857142857142856
886015d8a1fffff,0.38483694756928766,0.12195613795237567,192,0.020833333333333332,0.010416666666666666,0.005208333333333333,0.0,0.0,0.0,0.014873299584258886,0.049479166666666664,0.049479166666666664
886015d8a3fffff,0.3799322817856815,0.07881771686980767,206,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.006212232492569164,0.019417475728155338,0.019417475728155338
886015d8a5fffff,0.386920893075686,0.08593062621064707,217,0.009216589861751152,0.009216589861751152,0.0,0.0,0.0,0.0,0.007384072520953944,0.027649769585253458,0.027649769585253458
886015d8a7fffff,0.38590328988344974,0.10613781541654121,192,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.011265235861395774,0.041666666666666664,0.041666666666666664
886015d8a9fffff,0.3778898483194789,0.040999617824218224,116,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0016809686617319528,0.008620689655172414,0.008620689655172414
886015d8abfffff,0.3832396766967025,0.13002557612621843,273,0.003663003663003663,0.014652014652014652,0.007326007326007326,0.0,0.007326007326007326,0.0,0.01690665044695502,0.05128205128205128,0.05128205128205128
886015d8adfffff,0.3845819688237454,0.012474053307429539,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0001556020059165938,0.0,0.0
886015d8b1fffff,0.3805066892700242,0.0017458851057248245,4,0.0,0.0,0.0,0.0,0.0,0.0,3.0481148023917817e-06,0.0,0.0
886015d8b5fffff,0.38066037137385533,0.04279340521543514,183,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0018312755299324315,0.01092896174863388,0.01092896174863388
886015d8b7fffff,0.3793799763665474,0.011145215118154042,34,0.0,0.0,0.0,0.0,0.0,0.0,0.00012421582002992943,0.0,0.0
886015d8b9fffff,0.3976768464992395,0.15933118420596698,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.02538642626047578,0.16666666666666666,0.16666666666666666
886015d8bdfffff,0.37944509682072286,0.051580977257447015,247,0.0,0.004048582995951417,0.0,0.0,0.0,0.0,0.002660597214833266,0.008097165991902834,0.008097165991902834
886015d8c1fffff,0.3759929525613463,0.005466822794484578,5,0.0,0.0,0.0,0.0,0.0,0.0,2.9886151466296165e-05,0.0,0.0
886015d8c3fffff,0.3776188246524595,0.005983950089033672,15,0.0,0.0,0.0,0.0,0.0,0.0,3.5807658668046094e-05,0.0,0.0
