h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,coverage_bank,walkability_variance,accessibility_mean,population_weighted_accessibility
8860145129fffff,55.067122315777546,6.308984134399972,108,0.19444444444444445,0.7592592592592593,0.0,0.26851851851851855,0.6296296296296297,0.4722222222222222,0.7222222222222222,39.803280808110564,56.83200007816751,56.8320000781675
886014512bfffff,59.527842474083016,3.759332877773849,98,0.9285714285714286,0.9387755102040817,0.0,0.8877551020408163,0.0,0.35714285714285715,0.5408163265306123,14.132583685911408,61.26699909252948,61.26699909252948
886014512dfffff,64.08988682123612,3.778748630167408,102,1.0,1.0,0.0,0.7549019607843137,0.12745098039215685,1.0,0.49019607843137253,14.27894120999206,66.18463248542412,66.18463248542412
8860145131fffff,51.03509625266467,2.378702655111514,32,0.5,0.53125,0.0,0.0625,0.0,0.0,0.875,5.658226321434566,52.577724322294735,52.577724322294735
8860145133fffff,45.42542615409972,4.582751429126457,76,1.0,0.09210526315789473,0.039473684210526314,0.0,0.0,0.02631578947368421,0.18421052631578946,21.001610661160584,46.98693772872854,46.986937728728535
8860145135fffff,43.10277702181202,1.6659128148772813,41,0.0,0.9024390243902439,0.0,0.0,0.0,0.5365853658536586,0.0,2.775265506772347,44.31062937547828,44.310629375478285
8860145137fffff,48.35072298395639,4.829675428544324,55,0.9090909090909091,0.2727272727272727,0.0,0.0,0.0,0.8,0.01818181818181818,23.325764745084804,49.89339185982336,49.89339185982336
8860145139fffff,32.90176076160976,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.288980572755705,34.288980572755705
886014513bfffff,37.22873590209778,1.9967645465621342,36,0.7777777777777778,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,3.9870686544074854,38.732191502869085,38.732191502869085
886014513dfffff,58.11270960050965,3.6528361064260193,53,0.8867924528301887,0.8679245283018868,0.0,1.0,0.0,0.2830188679245283,0.9811320754716981,13.3432116204096,60.072516415922784,60.072516415922784
