h3,value_mean,value_std,value_count,coverage_school,coverage_hospital,coverage_pharmacy,coverage_supermarket,coverage_bus_station,coverage_park,coverage_bank,walkability_variance,accessibility_mean,population_weighted_accessibility
8860145a8bfffff,50.97599767640978,8.407755468085838,9,0.4444444444444444,1.0,0.0,0.3333333333333333,0.0,0.8888888888888888,0.1111111111111111,70.69035201112732,53.11772335696307,53.11772335696307
8860145a8dfffff,52.93125407366813,2.8918429101657424,176,0.9943181818181818,1.0,0.0,0.09090909090909091,0.0,1.0,0.0,8.36275541707587,54.65336744266865,54.65336744266865
8860145aa1fffff,55.94787670439326,5.17061194968208,115,0.0,0.19130434782608696,0.0,0.9478260869565217,0.0782608695652174,0.8173913043478261,0.7652173913043478,26.735227934195116,57.66682419466589,57.666824194665885
8860145aa3fffff,56.5718297769291,2.1959386489144377,88,0.4090909090909091,0.9659090909090909,0.0,0.4772727272727273,0.5795454545454546,0.8181818181818182,0.3977272727272727,4.822146549796166,58.15455987214277,58.15455987214277
8860145aa5fffff,43.7902392162111,3.09220255195181,117,0.0,0.7350427350427351,0.0,0.0,0.0,0.6837606837606838,0.0,9.561716622297286,45.04635683948006,45.04635683948006
8860145aa7fffff,50.39200907437167,3.318071051846052,116,0.4224137931034483,0.05172413793103448,0.0,0.008620689655172414,0.4396551724137931,0.5775862068965517,0.2672413793103448,11.009595505098767,51.7302057622445,51.730205762244516
8860145aa9fffff,62.98177609607113,4.334681262949274,152,0.5131578947368421,1.0,0.5263157894736842,0.993421052631579,0.0,0.8421052631578947,0.23026315789473684,18.789461651363514,64.83098775624079,64.83098775624079
8860145aabfffff,59.01258168042298,3.565980734435021,114,0.868421052631579,1.0,0.0,0.5964912280701754,0.0,0.9912280701754386,0.43859649122807015,12.716218598361731,60.67168624221345,60.67168624221345
8860145aadfffff,58.4142088291268,2.8639447294672786,116,0.0,1.0,0.0,0.11206896551724138,0.0,0.9827586206896551,0.33620689655172414,8.202179413443405,59.98815481499608,59.98815481499607
8860145ab1fffff,39.89140123499547,,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,42.203723568820166,42.203723568820166
8860145ab5fffff,52.92392238537845,2.015444104365417,28,1.0,1.0,0.0,0.0,0.0,0.07142857142857142,0.0,4.062014937821319,55.07519426594065,55.07519426594066
8860145ab9fffff,41.24667921997576,3.3101308866462333,33,0.8181818181818182,1.0,0.0,0.0,0.0,1.0,0.0,10.95696648672938,43.50834894241314,43.50834894241314
8860145abdfffff,50.7516505706873,3.5664154625662516,128,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.719319251631651,52.542153341528596,52.54215334152859
8860145ac1fffff,55.710402947168774,7.718326869332747,53,0.6226415094339622,0.7924528301886793,0.0,0.33962264150943394,0.0,0.8679245283018868,0.8867924528301887,59.57256966186385,57.80640711824692,57.806407118246916
8860145ac3fffff,65.94975264146912,4.122470192286166,124,1.0,1.0,0.3951612903225806,0.6612903225806451,0.0,1.0,0.4596774193548387,16.994760486287944,67.80502088887904,67.80502088887901
8860145ac5fffff,48.34080361131123,7.229325184747425,24,0.4583333333333333,0.4583333333333333,0.0,0.041666666666666664,0.0,0.875,0.625,52.26314262682339,50.569967045985315,50.569967045985315
8860145ac7fffff,51.71831788297402,5.476379079714176,112,0.9553571428571429,0.9642857142857143,0.0,0.0,0.0,0.9642857142857143,0.10714285714285714,29.990727824731085,53.554203131035,53.554203131035
8860145ac9fffff,49.57233720871376,4.987700876140241,78,0.05128205128205128,0.8589743589743589,0.0,0.4230769230769231,0.0,0.9487179487179487,0.10256410256410256,24.877160029850128,51.19213394960461,51.19213394960462
8860145acbfffff,46.51332492222943,7.6048921540249514,69,0.2318840579710145,0.3188405797101449,0.0,0.10144927536231885,0.0,0.7391304347826086,0.17391304347826086,57.83438467435026,48.07213763649028,48.072137636490275
8860145acdfffff,57.50727768079807,4.779081321662501,106,0.7169811320754716,0.9905660377358491,0.2169811320754717,0.3584905660377358,0.0,0.7169811320754716,0.6981132075471698,22.839618279063398,59.34111696426394,59.34111696426394
8860145ad1fffff,68.71699702741297,9.79467813642639,114,0.8508771929824561,1.0,0.5,0.47368421052631576,0.631578947368421,0.9122807017543859,0.7105263157894737,95.93571979618913,71.31778061497117,71.31778061497117
8860145ad3fffff,41.206395799533034,3.973170928295388,57,0.05263157894736842,0.5789473684210527,0.0,0.0,0.0,0.10526315789473684,0.0,15.786087225451636,42.37652083594503,42.37652083594503
8860145ad5fffff,77.85284311787193,4.701311375714735,112,1.0,1.0,0.9196428571428571,1.0,0.017857142857142856,1.0,1.0,22.10232865142478,80.50380306239488,80.50380306239488
8860145ad7fffff,37.778775943862804,3.754657144279599,38,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,14.097450271089832,39.02620035609686,39.02620035609685
8860145ad9fffff,69.57484845465424,4.694621976537484,102,0.9901960784313726,1.0,0.8333333333333334,0.058823529411764705,0.7843137254901961,0.7647058823529411,0.9901960784313726,22.039475502588715,71.74716325066534,71.74716325066532
8860145adbfffff,57.51341937920123,8.774808608816729,103,0.4368932038834951,1.0,0.13592233009708737,0.1553398058252427,0.04854368932038835,0.9805825242718447,0.22330097087378642,76.99726612136418,59.29318374274692,59.29318374274691
8860145addfffff,64.39995862179211,14.119122615467331,68,0.6176470588235294,0.75,0.5147058823529411,0.5147058823529411,0.3382352941176471,0.9558823529411765,0.5882352941176471,199.34962343060107,67.50107713900336,67.50107713900336
8860145ae1fffff,51.00714508891931,5.600841432876279,22,0.045454545454545456,0.9545454545454546,0.0,0.5454545454545454,0.0,0.36363636363636365,0.18181818181818182,31.369424756223605,52.762541949513654,52.76254194951364
8860145ae3fffff,64.39186573022131,7.190291097262436,118,0.7627118644067796,1.0,0.4576271186440678,0.864406779661017,0.0,0.6271186440677966,0.576271186440678,51.700286063371436,66.75186042503391,66.75186042503391
8860145ae5fffff,67.57865835883132,4.799908525091952,89,0.5168539325842697,1.0,0.0,0.9213483146067416,0.29213483146067415,1.0,0.6292134831460674,23.039121849250403,69.61259455757425,69.61259455757425
8860145ae7fffff,63.72335537984613,4.753648986658278,96,0.0,1.0,0.5208333333333334,0.9479166666666666,0.0,0.3854166666666667,0.84375,22.597178688357268,65.48598998987102,65.48598998987103
8860145ae9fffff,45.79108768006534,4.2229397956924215,18,0.7777777777777778,0.2777777777777778,0.0,0.05555555555555555,0.0,0.6111111111111112,0.0,17.833220518042747,47.802467367736526,47.80246736773652
8860145aebfffff,47.106541101465055,3.2277160309380046,32,0.8125,0.65625,0.0,0.03125,0.0,0.96875,0.0,10.418150776374185,48.95934922799987,48.95934922799987
8860145aedfffff,44.310001150649065,4.738425165910141,12,0.0,0.4166666666666667,0.0,0.0,0.0,0.75,0.0,22.452673052930546,45.99185381260895,45.99185381260895
8860145b01fffff,81.53555052333158,2.7538220843416132,143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.583536072207588,84.43410716538312,84.43410716538314
8860145b03fffff,73.0279540312678,2.988278480140109,137,1.0,1.0,1.0,0.8832116788321168,0.0,0.8321167883211679,1.0,8.929808274868481,75.37228594416683,75.37228594416683
8860145b05fffff,77.99892184960875,3.6421717085804723,161,1.0,1.0,1.0,1.0,0.0,0.9937888198757764,1.0,13.265414754783999,80.65389684255666,80.65389684255665
8860145b07fffff,85.44174632388999,2.630616891483946,150,1.0,1.0,1.0,1.0,0.19333333333333333,1.0,1.0,6.92014522976066,88.62711161346422,88.62711161346422
8860145b09fffff,80.8230851941659,4.4943839423762855,106,0.9716981132075472,1.0,1.0,0.9905660377358491,0.2830188679245283,1.0,1.0,20.1994870214898,83.67319271104058,83.67319271104058
8860145b0bfffff,69.19762807928066,4.556816929519057,93,0.8494623655913979,1.0,0.6344086021505376,0.5053763440860215,0.06451612903225806,1.0,0.7634408602150538,20.764580529151488,71.23419003765089,71.2341900376509
8860145b0dfffff,72.88543354890973,4.230963339209113,81,1.0,1.0,0.7530864197530864,1.0,0.0,0.8271604938271605,0.9382716049382716,17.90105077773153,75.31845234316424,75.31845234316424
8860145b11fffff,80.03920268653711,2.813399385651525,201,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.915216103184377,83.00803692830723,83.00803692830723
8860145b13fffff,72.6914357557032,3.344943057101911,162,1.0,1.0,0.6604938271604939,0.9753086419753086,0.006172839506172839,1.0,1.0,11.18864405525428,74.85185121933343,74.85185121933343
8860145b15fffff,74.63955721690681,4.654628235127652,156,1.0,1.0,1.0,0.9487179487179487,0.0,0.9935897435897436,1.0,21.66556400724756,77.45208036721135,77.45208036721135
8860145b17fffff,75.27537322737021,2.9130769744230696,156,1.0,1.0,0.9807692307692307,1.0,0.0,1.0,1.0,8.486017458913865,77.87060243906646,77.87060243906646
8860145b19fffff,71.19547958558482,4.2628694157697185,148,1.0,1.0,0.3581081081081081,1.0,0.0,0.9256756756756757,1.0,18.17205565590486,73.5867672943818,73.5867672943818
8860145b1bfffff,71.21122077360022,4.15561443774854,140,1.0,1.0,0.40714285714285714,0.9785714285714285,0.0,1.0,1.0,17.26913135522411,73.61009308076167,73.61009308076167
8860145b1dfffff,73.9236876506429,5.117701435478869,138,1.0,1.0,0.9855072463768116,0.9057971014492754,0.0,1.0,1.0,26.190867982702482,76.52040425650615,76.52040425650615
8860145b21fffff,69.73004197003478,9.543120222486312,55,0.8363636363636363,1.0,0.6545454545454545,0.7090909090909091,0.0,0.9636363636363636,0.9090909090909091,91.07114358082718,72.57408514850596,72.57408514850594
8860145b23fffff,75.69518568654709,4.171353108112572,14,1.0,1.0,0.7142857142857143,1.0,0.35714285714285715,1.0,0.9285714285714286,17.40018675256042,78.32186304643135,78.32186304643135
8860145b25fffff,70.05646005710224,7.609100103549755,81,0.37037037037037035,1.0,0.8765432098765432,0.9629629629629629,0.0,0.8395061728395061,0.9629629629629629,57.89840438584089,72.6764568968134,72.67645689681339
8860145b27fffff,75.934872448205,4.918736054751074,27,0.8148148148148148,1.0,1.0,1.0,0.0,1.0,1.0,24.19396437630816,78.62982230358087,78.6298223035809
8860145b29fffff,76.47479103489934,7.219382604738539,94,0.9787234042553191,1.0,0.8191489361702128,0.9680851063829787,0.0,1.0,1.0,52.11948519360141,79.37722968627533,79.37722968627533
