area,type,name,osmid
Kadugodi Colony,public_transport=station,Kadugodi Bus Station,130127246
Kalyan Nagar,bus_station,Kalyan Nagar BMTC Depot,687173199
Kalyani Nagara,public_transport=station,ISRO Layout Bus Stand,259879354
Kamakshipalya,bus_station,Sharada Colony Bus Depot,141375009
Kane Muneshwara Ward,public_transport=station,ISRO Layout Bus Stand,259879354
Kane Muneshwara Ward,bus_station,Kumaraswamy Layout,1270568466
Kariyammana Agrahara,public_transport=station,Terminal 2,1426810495
Kasturibai Nagar,bus_station,Mysore Road Bus Station,1789736226
Kasturibai Nagar,public_transport=station,Old Gudahalli,4130929491
Kasturibai Nagar,bus_station,KSRTC Mysore Road Satellite Bus Station,1238821118
Kaval Byrasandra,bus_stop,Shaji Stores,5329386293
Kaveri Nagar,bus_stop,Shaji Stores,5329386293
Kengeri,public_transport=station,Kengeri Uppanagara Bus Stand,781766935
Kengeri Satelite Town,public_transport=station,Kengeri Uppanagara Bus Stand,781766935
Konappana Agrahara,public_transport=station,Unnamed,1091003955
Konappana Agrahara,bus_station,Infosys Bus Station,1346135040
Konena Agrahara,bus_station,Jeevan Bhima Nagar Bus Depot,131219780
Koramangala,public_transport=station,Koramangala TTMC,122415848
Koramangala 2nd Block,public_transport=station,Unnamed,1066726710
Koramangala 4th Block,public_transport=station,Koramangala TTMC,122415848
Koramangala 5th Block,public_transport=station,Koramangala TTMC,122415848
Koramangala 6th Block,public_transport=station,Koramangala TTMC,122415848
Koramangala 8th Block,public_transport=station,Koramangala TTMC,122415848
Kormangala West,public_transport=station,Unnamed,1066726710
Kothanur,bus_station,Jambu Savari Dinne Bus Bay,455958466
Kothnur,bus_station,Jambu Savari Dinne Bus Bay,455958466
Krishna Reddy Colony,public_transport=station,Domlur Bus Station,31231545
Krishnadevaraya ward,public_transport=halt,Sri Siddhivinayak Temple,1283097924
Kumara Park East,bus_station,SRS Bus Station,1809771508
Kumaraswamy Layout 1st Stage,bus_station,Kumaraswamy Layout,1270568466
Kumaraswamy Layout 2nd Stage,public_transport=station,ISRO Layout Bus Stand,259879354
Kumaraswamy Layout 2nd Stage,bus_station,Kumaraswamy Layout,1270568466
Kuvempu Nagar,public_transport=station,Kuvempunagara Bus Station,243896056
Kuvempu Nagar 1st Stage,bus_station,Kuvempunagar 2nd Stage,1529386309
Kuvempu Nagar 2nd Stage,bus_station,Kuvempunagar 2nd Stage,1529386309
