2026-01-03 19:24:50,090 - PathLensMaster - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/logs/pathlens_master_20260103_192450.log
2026-01-03 19:24:50,091 - PathLensMaster - INFO - PathLens Master Orchestrator Starting
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Config: /home/shogun/Documents/PathLens/config.yaml
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Skipping data collection pipeline
2026-01-03 19:24:50,091 - PathLensMaster - INFO - ================================================================================
2026-01-03 19:24:50,091 - PathLensMaster - INFO - PIPELINE: OPTIMIZATION
2026-01-03 19:24:50,091 - PathLensMaster - INFO - ================================================================================
2026-01-03 19:24:50,091 - PathLensMaster - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python -u /home/shogun/Documents/PathLens/optimization-pipeline/run_optimization.py --ga-generations 80 --ga-config /home/shogun/Documents/PathLens/config.yaml
2026-01-03 19:25:23,660 - PathLensMaster - INFO - [optimization] Gen 1 eval:  25%|██▌       | 19/75 [00:01<00:02, 20.32it/s][A
2026-01-03 19:25:23,823 - PathLensMaster - INFO - [optimization] Gen 1 eval:  29%|██▉       | 22/75 [00:01<00:02, 22.24it/s][A
2026-01-03 19:25:24,068 - PathLensMaster - INFO - [optimization] Gen 1 eval:  33%|███▎      | 25/75 [00:01<00:02, 21.02it/s][A
2026-01-03 19:25:24,226 - PathLensMaster - INFO - [optimization] Gen 1 eval:  37%|███▋      | 28/75 [00:01<00:02, 17.38it/s][A
2026-01-03 19:25:24,331 - PathLensMaster - INFO - [optimization] Gen 1 eval:  41%|████▏     | 31/75 [00:01<00:02, 17.84it/s][A
2026-01-03 19:25:24,548 - PathLensMaster - INFO - [optimization] Gen 1 eval:  47%|████▋     | 35/75 [00:01<00:01, 22.01it/s][A
2026-01-03 19:25:24,659 - PathLensMaster - INFO - [optimization] Gen 1 eval:  51%|█████     | 38/75 [00:02<00:01, 18.93it/s][A
2026-01-03 19:25:24,854 - PathLensMaster - INFO - [optimization] Gen 1 eval:  56%|█████▌    | 42/75 [00:02<00:01, 22.62it/s][A
2026-01-03 19:25:25,002 - PathLensMaster - INFO - [optimization] Gen 1 eval:  60%|██████    | 45/75 [00:02<00:01, 20.08it/s][A
2026-01-03 19:25:25,121 - PathLensMaster - INFO - [optimization] Gen 1 eval:  65%|██████▌   | 49/75 [00:02<00:01, 21.99it/s][A
2026-01-03 19:25:25,380 - PathLensMaster - INFO - [optimization] Gen 1 eval:  69%|██████▉   | 52/75 [00:02<00:01, 22.78it/s][A
2026-01-03 19:25:25,529 - PathLensMaster - INFO - [optimization] Gen 1 eval:  73%|███████▎  | 55/75 [00:03<00:01, 17.98it/s][A
2026-01-03 19:25:25,633 - PathLensMaster - INFO - [optimization] Gen 1 eval:  79%|███████▊  | 59/75 [00:03<00:00, 20.30it/s][A
2026-01-03 19:25:25,776 - PathLensMaster - INFO - [optimization] Gen 1 eval:  83%|████████▎ | 62/75 [00:03<00:00, 22.04it/s][A
2026-01-03 19:25:25,879 - PathLensMaster - INFO - [optimization] Gen 1 eval:  87%|████████▋ | 65/75 [00:03<00:00, 21.76it/s][A
2026-01-03 19:25:26,002 - PathLensMaster - INFO - [optimization] Gen 1 eval:  92%|█████████▏| 69/75 [00:03<00:00, 25.65it/s][A
2026-01-03 19:25:26,021 - PathLensMaster - INFO - [optimization] Gen 1 eval:  96%|█████████▌| 72/75 [00:03<00:00, 25.26it/s][A
2026-01-03 19:25:26,021 - PathLensMaster - INFO - [optimization]                                                            [A
2026-01-03 19:25:39,459 - PathLensMaster - INFO - [optimization] Gen 1 local_search:   0%|          | 0/5 [00:00<?, ?it/s][A
2026-01-03 19:25:52,477 - PathLensMaster - INFO - [optimization] Gen 1 local_search:  20%|██        | 1/5 [00:13<00:53, 13.44s/it][A
2026-01-03 19:26:05,406 - PathLensMaster - INFO - [optimization] Gen 1 local_search:  40%|████      | 2/5 [00:26<00:39, 13.19s/it][A
2026-01-03 19:26:18,103 - PathLensMaster - INFO - [optimization] Gen 1 local_search:  60%|██████    | 3/5 [00:39<00:26, 13.07s/it][A
2026-01-03 19:26:25,477 - PathLensMaster - INFO - [optimization] Gen 1 local_search:  80%|████████  | 4/5 [00:52<00:12, 12.92s/it][A
2026-01-03 19:26:25,477 - PathLensMaster - INFO - [optimization] Gen 1 local_search: 100%|██████████| 5/5 [00:59<00:00, 10.92s/it][A
2026-01-03 19:26:25,477 - PathLensMaster - INFO - [optimization]                                                                  [A2026-01-03 19:26:25,477 [INFO] Generation 1 best fitness 0.0000 | template=None | placements={'school': 30, 'hospital': 25, 'pharmacy': 25, 'supermarket': 30, 'bus_station': 40, 'park': 25} | elapsed=63.12s
2026-01-03 19:26:25,488 - PathLensMaster - INFO - [optimization] Generations:   1%|▏         | 1/80 [01:03<1:23:07, 63.13s/gen]2026-01-03 19:26:25,488 [INFO] Evaluating generation 2/80
2026-01-03 19:26:25,799 - PathLensMaster - INFO - [optimization] Gen 2 eval:   0%|          | 0/75 [00:00<?, ?it/s][A
2026-01-03 19:26:26,018 - PathLensMaster - INFO - [optimization] Gen 2 eval:   1%|▏         | 1/75 [00:00<00:23,  3.21it/s][A
2026-01-03 19:26:26,182 - PathLensMaster - INFO - [optimization] Gen 2 eval:   7%|▋         | 5/75 [00:00<00:06, 10.77it/s][A
2026-01-03 19:26:26,292 - PathLensMaster - INFO - [optimization] Gen 2 eval:  11%|█         | 8/75 [00:00<00:05, 13.39it/s][A
